sequence_name,is_uk,is_cog_uk,central_sample_id,secondary_identifier,sample_date,epi_week,country,adm1,is_surveillance,is_travel_history,travel_history,lineage,uk_lineage,del_lineage,phylotype
England/NORW-ECEB5/2020,Y,Y,NORW-ECEB5,,2020-06-01,23,UK,UK-ENG,Y,,,B.1,UK2913,del_trans_738350,UK2913_1.3
England/NORW-ECFA3/2020,Y,Y,NORW-ECFA3,,2020-06-01,23,UK,UK-ENG,Y,,,B.1,UK2989,,
England/NORW-ED69E/2020,Y,Y,NORW-ED69E,,2020-06-05,23,UK,UK-ENG,Y,,,B.1.1.1,UK8681,,
England/NORW-ED704/2020,Y,Y,NORW-ED704,,2020-06-05,23,UK,UK-ENG,Y,,,B.1.1.1,UK8681,,
England/NORW-EB0DE/2020,Y,Y,NORW-EB0DE,,2020-05-02,18,UK,UK-ENG,Y,,,B.1.1,UK1709,,
England/NORW-ED6CB/2020,Y,Y,NORW-ED6CB,,2020-05-21,21,UK,UK-ENG,Y,,,B.1.1,UK1665,,
England/NORW-EB85E/2020,Y,Y,NORW-EB85E,,2020-05-05,19,UK,UK-ENG,Y,,,B.1,UK199,,
England/NORW-ED18E/2020,Y,Y,NORW-ED18E,,2020-06-01,23,UK,UK-ENG,Y,,,B.1,UK2989,,
England/NORW-ED29A/2020,Y,Y,NORW-ED29A,,2020-06-03,23,UK,UK-ENG,Y,,,B.1.1.3,UK9080,,
England/NORW-ED31F/2020,Y,Y,NORW-ED31F,,2020-06-02,23,UK,UK-ENG,N,,,B.1,UK4371,,
England/NORW-ED458/2020,Y,Y,NORW-ED458,,2020-06-01,23,UK,UK-ENG,Y,,,B.1.1,UK1173,,
England/NORW-EB760/2020,Y,Y,NORW-EB760,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.1,UK9660,del_trans_544831,
England/NORW-EB77F/2020,Y,Y,NORW-EB77F,,2020-05-05,19,UK,UK-ENG,Y,,,B.1.1,UK1709,,
England/NORW-ED4C1/2020,Y,Y,NORW-ED4C1,,2020-05-28,22,UK,UK-ENG,Y,,,B.1,UK4371,,
England/NORW-ED449/2020,Y,Y,NORW-ED449,,2020-05-28,22,UK,UK-ENG,Y,,,B.1,UK2913,,
England/NORW-ED564/2020,Y,Y,NORW-ED564,,2020-05-21,21,UK,UK-ENG,Y,,,B.1.1,UK1665,,
England/NORW-ED546/2020,Y,Y,NORW-ED546,,2020-05-21,21,UK,UK-ENG,Y,,,B.1.1,UK1665,,
England/NORW-EBF1D/2020,Y,Y,NORW-EBF1D,,2020-05-25,22,UK,UK-ENG,Y,,,B.1.1.3,UK9080,,
England/NORW-ED24F/2020,Y,Y,NORW-ED24F,,2020-06-02,23,UK,UK-ENG,N,,,B.1,UK4371,,
England/NORW-EB1CC/2020,Y,Y,NORW-EB1CC,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.201,UK3230,,
England/NORW-EB1EA/2020,Y,Y,NORW-EB1EA,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.201,UK3230,,
England/NORW-EA998/2020,Y,Y,NORW-EA998,,2020-05-18,21,UK,UK-ENG,Y,,,B.1,UK2913,,
England/NORW-E98C9/2020,Y,Y,NORW-E98C9,,2020-04-29,18,UK,UK-ENG,Y,,,B.1.1,UK1893,,
England/NORW-EA664/2020,Y,Y,NORW-EA664,,2020-05-21,21,UK,UK-ENG,Y,,,B.1.1,UK621,,
England/NORW-E8DAD/2020,Y,Y,NORW-E8DAD,,2020-04-28,18,UK,UK-ENG,Y,,,B.1,UK2913,,
England/NORW-EA0B1/2020,Y,Y,NORW-EA0B1,,2020-05-19,21,UK,UK-ENG,N,,,B,UK173,,
England/NORW-EAC44/2020,Y,Y,NORW-EAC44,,2020-04-29,18,UK,UK-ENG,Y,,,B.1.201,UK3230,,
England/NORW-E98AB/2020,Y,Y,NORW-E98AB,,2020-04-29,18,UK,UK-ENG,Y,,,B.1,UK2913,,
England/NORW-EA7DA/2020,Y,Y,NORW-EA7DA,,2020-05-18,21,UK,UK-ENG,Y,,,B.1,UK2913,,
England/NORW-E9D24/2020,Y,Y,NORW-E9D24,,2020-04-30,18,UK,UK-ENG,Y,,,B.1,UK2913,,
England/NORW-EB223/2020,Y,Y,NORW-EB223,,2020-05-03,19,UK,UK-ENG,N,,,B.1,UK2913,del_trans_738350,UK2913_1.3
England/NORW-E9207/2020,Y,Y,NORW-E9207,,2020-04-26,18,UK,UK-ENG,Y,,,B.1.201,UK3230,,
England/NORW-E9CBE/2020,Y,Y,NORW-E9CBE,,2020-04-30,18,UK,UK-ENG,Y,,,B.1.1,UK1893,,
England/NORW-EAA1D/2020,Y,Y,NORW-EAA1D,,2020-05-16,20,UK,UK-ENG,Y,,,B.1.225,UK4371,,
England/NORW-EA628/2020,Y,Y,NORW-EA628,,2020-05-20,21,UK,UK-ENG,N,,,B.1.1.3,UK9080,,
England/NORW-EAA2C/2020,Y,Y,NORW-EAA2C,,2020-05-16,20,UK,UK-ENG,Y,,,B.1.1,UK1709,,
England/NORW-E9735/2020,Y,Y,NORW-E9735,,2020-04-29,18,UK,UK-ENG,Y,,,B.1.1,UK1893,,
England/NORW-EAA0E/2020,Y,Y,NORW-EAA0E,,2020-05-18,21,UK,UK-ENG,N,,,B.1,UK2913,,
England/NORW-E8DE9/2020,Y,Y,NORW-E8DE9,,2020-04-28,18,UK,UK-ENG,Y,,,B.1.201,UK3230,,
England/NORW-EBDB9/2020,Y,Y,NORW-EBDB9,,2020-05-08,19,UK,UK-ENG,N,,,B.1.1,UK1173,,
England/NORW-EC3E3/2020,Y,Y,NORW-EC3E3,,2020-05-12,20,UK,UK-ENG,N,,,B.1.1,UK1176,,
England/NORW-EBD04/2020,Y,Y,NORW-EBD04,,2020-05-08,19,UK,UK-ENG,N,,,B.1.93,UK533,,
England/NORW-EB8F4/2020,Y,Y,NORW-EB8F4,,2020-05-08,19,UK,UK-ENG,N,,,B.1.1,UK1336,,
England/NORW-EB91F/2020,Y,Y,NORW-EB91F,,2020-05-08,19,UK,UK-ENG,N,,,B.1.201,UK3230,,
England/NORW-EBC52/2020,Y,Y,NORW-EBC52,,2020-05-07,19,UK,UK-ENG,N,,,B.1.1.3,UK9080,,
England/NORW-EB065/2020,Y,Y,NORW-EB065,,2020-04-30,18,UK,UK-ENG,N,,,B.1.201,UK3230,,
England/NORW-EC608/2020,Y,Y,NORW-EC608,,2020-05-09,19,UK,UK-ENG,N,,,B.1,UK199,,
England/NORW-EC4FF/2020,Y,Y,NORW-EC4FF,,2020-05-12,20,UK,UK-ENG,Y,,,B.1.1,UK2330,,
England/NORW-EB469/2020,Y,Y,NORW-EB469,,2020-04-27,18,UK,UK-ENG,N,,,B.1,UK2913,,
England/NORW-EC662/2020,Y,Y,NORW-EC662,,2020-05-10,20,UK,UK-ENG,N,,,B.1.93,UK533,,
England/NORW-EAF2D/2020,Y,Y,NORW-EAF2D,,2020-04-29,18,UK,UK-ENG,N,,,B.1.1,UK1427,,
England/NORW-EB399/2020,Y,Y,NORW-EB399,,2020-04-30,18,UK,UK-ENG,N,,,B.1.1,UK1078,,
England/NORW-EC5ED/2020,Y,Y,NORW-EC5ED,,2020-05-09,19,UK,UK-ENG,N,,,B.1.1,UK1427,,
England/NORW-EB3C6/2020,Y,Y,NORW-EB3C6,,2020-05-01,18,UK,UK-ENG,N,,,B.1.1,UK1926,,
