sequence_name,is_uk,is_cog_uk,central_sample_id,secondary_identifier,sample_date,epi_week,country,adm1,is_surveillance,is_travel_history,travel_history,lineage,uk_lineage,del_lineage,phylotype
_England_NORW-ED4D0_2020_,Y,Y,NORW-ED4D0,,2020-05-11,20,UK,UK-ENG,Y,,,B.1.93,UK533,,
_England_NORW-ED42B_2020_,Y,Y,NORW-ED42B,,2020-05-26,22,UK,UK-ENG,N,,,B.1,UK4371,,
_England_NORW-EB0DE_2020_,Y,Y,NORW-EB0DE,,2020-05-02,18,UK,UK-ENG,Y,,,B.1.1,UK1709,,
_England_NORW-ED6CB_2020_,Y,Y,NORW-ED6CB,,2020-05-21,21,UK,UK-ENG,Y,,,B.1.1,UK1665,,
_England_NORW-ED476_2020_,Y,Y,NORW-ED476,,2020-05-28,22,UK,UK-ENG,Y,,,B.1,UK2989,,
_England_NORW-EB85E_2020_,Y,Y,NORW-EB85E,,2020-05-05,19,UK,UK-ENG,Y,,,B.1,UK199,,
_England_NORW-EA5D0_2020_,Y,Y,NORW-EA5D0,,2020-05-23,21,UK,UK-ENG,Y,,,B.1.1,UK9544,,
_England_NORW-EB6B1_2020_,Y,Y,NORW-EB6B1,,2020-05-06,19,UK,UK-ENG,Y,,,B,UK173,,
_England_NORW-EB135_2020_,Y,Y,NORW-EB135,,2020-05-03,19,UK,UK-ENG,Y,,,B,UK50,del_trans_115,
_England_NORW-ED18E_2020_,Y,Y,NORW-ED18E,,2020-06-01,23,UK,UK-ENG,Y,,,B.1,UK2989,,
_England_NORW-ED29A_2020_,Y,Y,NORW-ED29A,,2020-06-03,23,UK,UK-ENG,Y,,,B.1.1.3,UK9080,,
_England_NORW-EB812_2020_,Y,Y,NORW-EB812,,2020-05-05,19,UK,UK-ENG,Y,,,B,UK173,,
_England_NORW-EB7AC_2020_,Y,Y,NORW-EB7AC,,2020-05-05,19,UK,UK-ENG,Y,,,B.1.1,UK8889,,
_England_NORW-ED31F_2020_,Y,Y,NORW-ED31F,,2020-06-02,23,UK,UK-ENG,N,,,B.1,UK4371,,
_England_NORW-EB742_2020_,Y,Y,NORW-EB742,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.1.41,UK1893,,
_England_NORW-EB8A9_2020_,Y,Y,NORW-EB8A9,,2020-05-04,19,UK,UK-ENG,Y,,,B,UK173,,
_England_NORW-ED2D6_2020_,Y,Y,NORW-ED2D6,,2020-05-30,22,UK,UK-ENG,Y,,,B.1,UK2989,,
_England_NORW-EBF86_2020_,Y,Y,NORW-EBF86,,2020-05-21,21,UK,UK-ENG,Y,,,B.1.1,UK1368,del_trans_1960,UK1368_1
_England_NORW-EA51C_2020_,Y,Y,NORW-EA51C,,2020-05-23,21,UK,UK-ENG,Y,,,B.1,UK2913,,
_England_NORW-EB672_2020_,Y,Y,NORW-EB672,,2020-05-05,19,UK,UK-ENG,Y,,,B.1,UK199,,
_England_NORW-ED458_2020_,Y,Y,NORW-ED458,,2020-06-01,23,UK,UK-ENG,Y,,,B.1.1,UK1173,,
_England_NORW-EB2D8_2020_,Y,Y,NORW-EB2D8,,2020-05-03,19,UK,UK-ENG,Y,,,B.1,UK2913,,
_England_NORW-EB760_2020_,Y,Y,NORW-EB760,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.1,UK9660,del_trans_515321,
_England_NORW-ECD12_2020_,Y,Y,NORW-ECD12,,2020-05-28,22,UK,UK-ENG,Y,,,B.1.1,UK1893,,
_England_NORW-EB706_2020_,Y,Y,NORW-EB706,,2020-05-05,19,UK,UK-ENG,Y,,,B.1.1.1,UK3087,,
_England_NORW-EB7D9_2020_,Y,Y,NORW-EB7D9,,2020-05-05,19,UK,UK-ENG,Y,,,B.1.1.1,UK3087,,
_England_NORW-ED6F8_2020_,Y,Y,NORW-ED6F8,,2020-05-26,22,UK,UK-ENG,N,,,B.1,UK4371,,
_England_NORW-ED5EC_2020_,Y,Y,NORW-ED5EC,,2020-05-26,22,UK,UK-ENG,Y,,,B.1,UK2989,,
_England_NORW-EB7BB_2020_,Y,Y,NORW-EB7BB,,2020-05-05,19,UK,UK-ENG,Y,,,B.1.1,UK1427,,
_England_NORW-EB6CD_2020_,Y,Y,NORW-EB6CD,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.1,UK2334,,
_England_NORW-EB77F_2020_,Y,Y,NORW-EB77F,,2020-05-05,19,UK,UK-ENG,Y,,,B.1.1,UK1709,,
_England_NORW-ED4C1_2020_,Y,Y,NORW-ED4C1,,2020-05-28,22,UK,UK-ENG,Y,,,B.1,UK4371,,
_England_NORW-EBF4A_2020_,Y,Y,NORW-EBF4A,,2020-05-25,22,UK,UK-ENG,Y,,,B.1.1.3,UK9080,del_trans_1345,UK9080_1
_England_NORW-ECB90_2020_,Y,Y,NORW-ECB90,,2020-05-28,22,UK,UK-ENG,Y,,,B.1,UK2913,,
_England_NORW-ED4EF_2020_,Y,Y,NORW-ED4EF,,2020-05-21,21,UK,UK-ENG,Y,,,B.1.1,UK1665,,
_England_NORW-EBF59_2020_,Y,Y,NORW-EBF59,,2020-05-22,21,UK,UK-ENG,Y,,,B.1.1,UK1709,,
_England_NORW-EB86D_2020_,Y,Y,NORW-EB86D,,2020-05-05,19,UK,UK-ENG,Y,,,B,UK173,,
_England_NORW-ED449_2020_,Y,Y,NORW-ED449,,2020-05-28,22,UK,UK-ENG,Y,,,B.1,UK2913,,
_England_NORW-EB0ED_2020_,Y,Y,NORW-EB0ED,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.1.3,UK9080,del_trans_1345,UK9080_1
_England_NORW-ED564_2020_,Y,Y,NORW-ED564,,2020-05-21,21,UK,UK-ENG,Y,,,B.1.1,UK1665,,
_England_NORW-ED546_2020_,Y,Y,NORW-ED546,,2020-05-21,21,UK,UK-ENG,Y,,,B.1.1,UK1665,,
_England_NORW-EBF1D_2020_,Y,Y,NORW-EBF1D,,2020-05-25,22,UK,UK-ENG,Y,,,B.1.1.3,UK9080,,
_England_NORW-ED26D_2020_,Y,Y,NORW-ED26D,,2020-05-25,22,UK,UK-ENG,Y,,,B.1.1,UK1173,,
_England_NORW-ED32E_2020_,Y,Y,NORW-ED32E,,2020-05-28,22,UK,UK-ENG,Y,,,B.1.1,,,
_England_NORW-EB0CF_2020_,Y,Y,NORW-EB0CF,,2020-05-04,19,UK,UK-ENG,Y,,,B.40,UK282,del_trans_283,UK282_1.26.1.1
_England_NORW-ED24F_2020_,Y,Y,NORW-ED24F,,2020-06-02,23,UK,UK-ENG,N,,,B.1,UK4371,,
_England_NORW-EB19F_2020_,Y,Y,NORW-EB19F,,2020-05-03,19,UK,UK-ENG,Y,,,B.1.1,UK2330,,
_England_NORW-EB162_2020_,Y,Y,NORW-EB162,,2020-05-03,19,UK,UK-ENG,Y,,,B.1.1,UK621,,
_England_NORW-EB074_2020_,Y,Y,NORW-EB074,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.201,UK3230,del_trans_707547,UK3230_1
_England_NORW-ED5FB_2020_,Y,Y,NORW-ED5FB,,2020-05-26,22,UK,UK-ENG,Y,,,B.27,UK4,del_trans_3,UK4_1.9.1
_England_NORW-EB803_2020_,Y,Y,NORW-EB803,,2020-05-05,19,UK,UK-ENG,Y,,,B.1.1,UK1709,,
_England_NORW-EC046_2020_,Y,Y,NORW-EC046,,2020-05-21,21,UK,UK-ENG,Y,,,B.1,UK2989,,
_England_NORW-EB751_2020_,Y,Y,NORW-EB751,,2020-05-05,19,UK,UK-ENG,Y,,,B.1.1,UK8650,,
_England_NORW-EB1CC_2020_,Y,Y,NORW-EB1CC,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.201,UK3230,,
_England_NORW-EB171_2020_,Y,Y,NORW-EB171,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.1,UK8650,,
